2.612436867076458391e+00,3.000000000000000000e+00
2.576611715442976625e+00,3.247811569280028898e+00
2.472069841090102749e+00,3.475330825312084926e+00
2.307371766305241767e+00,3.663927112446144996e+00
2.096003967666474122e+00,3.798157023632862117e+00
1.855274521600472237e+00,3.867029000193349386e+00
1.604895814182569325e+00,3.864903387262287993e+00
1.365370371490574941e+00,3.791954242909550743e+00
1.156311988506242727e+00,3.654155085210496701e+00
9.948396327053765642e-01,3.462789744381204571e+00
8.941756392449630164e-01,3.233528374370480574e+00
8.625629860215758837e-01,2.985144285679658172e+00
9.025903086815338927e-01,2.737976672916035525e+00
1.010979927444779491e+00,2.512265118265081032e+00
1.178856243390881131e+00,2.326492251831479230e+00
1.392472526292549917e+00,2.195870281865218487e+00
1.634336580203881617e+00,2.131095326950767976e+00
1.884643110482448591e+00,2.137471552989528067e+00
2.122895501352067615e+00,2.214476835947925881e+00
2.329584203030009792e+00,2.355805516537814448e+00
2.487784291908185175e+00,2.549884745816812792e+00
2.584541385878043496e+00,2.780822140201309356e+00
